	docid	citation
35	ALFREDSTELZNERITE-A-NEW-SPECIES-OF-CALCIUM-BORATE.html	Miguel Angel Galliski, Mark A. Cooper, María Florencia Márquez-Zavalía, Frank C. Hawthorne; ALFREDSTELZNERITE: A NEW SPECIES OF CALCIUM BORATE HYDRATE FROM THE SANTA ROSA MINE, SALTA, NORTHWESTERN ARGENTINA. The Canadian Mineralogist 2010;; 48 (1): 123–128. doi: https://doi.org/10.3749/canmin.48.1.123
36	ALLANITE-Ce-FROM-THE-EOCENE-CASTO-GRANITE-IDAHO.html	Scott A. Wood, Alice Ricketts; ALLANITE-(Ce) FROM THE EOCENE CASTO GRANITE, IDAHO: RESPONSE TO HYDROTHERMAL ALTERATION. The Canadian Mineralogist 2000;; 38 (1): 81–100. doi: https://doi.org/10.2113/gscanmin.38.1.81
37	ALLANITE-Ce-IN-GRANITIC-ROCKS-FROM-JAPAN-GENETIC.html	Mihoko Hoshino, Mitsuyoshi Kimata, Masahiro Shimizu, Norimasa Nishida, Takashi Fujiwara; ALLANITE-(Ce) IN GRANITIC ROCKS FROM JAPAN: GENETIC IMPLICATIONS OF PATTERNS OF REE AND Mn ENRICHMENT. The Canadian Mineralogist 2006;; 44 (1): 45–62. doi: https://doi.org/10.2113/gscanmin.44.1.45
38	ALLANITE-La-FROM-BUCA-DELLA-VENA-MINE-APUAN-ALPS.html	Paolo Orlandi, Marco Pasero; ALLANITE-(La) FROM BUCA DELLA VENA MINE, APUAN ALPS, ITALY, AN EPIDOTE-GROUP MINERAL. The Canadian Mineralogist 2006;; 44 (1): 63–68. doi: https://doi.org/10.2113/gscanmin.44.1.63
39	ALUMINOCOQUIMBITE-AlFe-SO4-3-9H2O-A-NEW-ALUMINUM.html	Francesco Demartin, Carlo Castellano, Carlo Maria Gramaccioli, Italo Campostrini; ALUMINOCOQUIMBITE, AlFe(SO4)3·9H2O, A NEW ALUMINUM IRON SULFATE FROM GROTTA DELL’ALLUME, VULCANO, AEOLIAN ISLANDS, ITALY. The Canadian Mineralogist 2010;; 48 (6): 1465–1468. doi: https://doi.org/10.3749/canmin.48.5.1465
40	ALUMINUM-FOR-IRON-SUBSTITUTION-HYDROGEN-BONDING.html	Francesco Demartin, Carlo Castellano, Carlo Maria Gramaccioli, Italo Campostrini; ALUMINUM-FOR-IRON SUBSTITUTION, HYDROGEN BONDING, AND A NOVEL STRUCTURE-TYPE IN COQUIMBITE-LIKE MINERALS. The Canadian Mineralogist 2010;; 48 (2): 323–333. doi: https://doi.org/10.3749/canmin.48.2.323
41	ALUMINUM-PHOSPHATE-SULFATE-MINERALS-ASSOCIATED.html	Stéphane Gaboreau, Daniel Beaufort, Philippe Vieillard, Patricia Patrier, Patrice Bruneton; ALUMINUM PHOSPHATE–SULFATE MINERALS ASSOCIATED WITH PROTEROZOIC UNCONFORMITY-TYPE URANIUM DEPOSITS IN THE EAST ALLIGATOR RIVER URANIUM FIELD, NORTHERN TERRITORIES, AUSTRALIA. The Canadian Mineralogist 2005;; 43 (2): 813–827. doi: https://doi.org/10.2113/gscanmin.43.2.813
42	AMMINEITE-CuCl2-NH3-2-A-NEW-SPECIES-CONTAINING-AN.html	Hans-Peter Bojar, Franz Walter, Judith Baumgartner, Gunnar Färber; AMMINEITE, CuCl2(NH3)2, A NEW SPECIES CONTAINING AN AMMINE COMPLEX: MINERAL DATA AND CRYSTAL STRUCTURE. The Canadian Mineralogist 2010;; 48 (6): 1359–1371. doi: https://doi.org/10.3749/canmin.48.5.1359
43	AN-ALGORITHM-FOR-THE-TRANSFORMATION-OF-XRF-IMAGES.html	Shoji Togami, Masao Takano, Mineo Kumazawa, Katsuyoshi Michibayashi; AN ALGORITHM FOR THE TRANSFORMATION OF XRF IMAGES INTO MINERAL-DISTRIBUTION MAPS. The Canadian Mineralogist 2000;; 38 (5): 1283–1294. doi: https://doi.org/10.2113/gscanmin.38.5.1283
44	AN-INTEGRATED-FLUID-MINERAL-STABLE-ISOTOPE-STUDY.html	Sarah Carruzzo, Daniel J. Kontak, D. Barrie Clarke, T. Kurtis Kyser; AN INTEGRATED FLUID–MINERAL STABLE-ISOTOPE STUDY OF THE GRANITE-HOSTED MINERAL DEPOSITS OF THE NEW ROSS AREA, SOUTH MOUNTAIN BATHOLITH, NOVA SCOTIA, CANADA: EVIDENCE FOR MULTIPLE RESERVOIRS. The Canadian Mineralogist 2004;; 42 (5): 1425–1441. doi: https://doi.org/10.2113/gscanmin.42.5.1425
