	docid	citation
48	E09-044.html	Woutervan der WalW. van der Wal, AlexanderBraunA. Braun, PatrickWuP. Wu, and Michael G.SiderisM.G. Sideris. 2009. Prediction of decadal slope changes in Canada by glacial isostatic adjustment modelling. Canadian Journal of Earth Sciences.46(8): 587-595. https://doi.org/10.1139/E09-044
49	e00-042.html	Michael J Bovis and Matthias Jakob. 2000. The July 29, 1998, debris flow and landslide dam at Capricorn Creek, Mount Meager Volcanic Complex, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences.37(10): 1321-1334. https://doi.org/10.1139/e00-042
50	e96-005.html	Véronique Dewez and Marie-Anne Geurts. 1996. Analyses minéralogiques multivariées de sédiments du Wisconsinien supérieur au sud-ouest du Yukon. Canadian Journal of Earth Sciences.33(1): 42-51. https://doi.org/10.1139/e96-005
51	cjes-2014-0057.html	DaviesLauren J., McKellarRyan C., MuehlenbachsKarlis, and WolfeAlexander P.. 2014. Isotopic characterization of organic matter from the Danek Bonebed (Edmonton, Alberta, Canada) with special reference to amber. Canadian Journal of Earth Sciences.51(11): 1017-1022. https://doi.org/10.1139/cjes-2014-0057
52	cjes-2015-0236.html	Vikki M. St-Hilaire and Dan J. Smith. 2017. Holocene glacier history of Frank Mackie Glacier, northern British Columbia Coast Mountains. Canadian Journal of Earth Sciences.54(1): 76-87. https://doi.org/10.1139/cjes-2015-0236
53	e98-088.html	Stéphane Rondenay, Michael G Bostock, Thomas M Hearn, Donald J White, Hua Wu, Guy Sénéchal, Shaocheng Ji, and Marianne Mareschal. 2000. Teleseismic studies of the lithosphere below the Abitibi-Grenville Lithoprobe transect. Canadian Journal of Earth Sciences.37(2-3): 415-426. https://doi.org/10.1139/e98-088
54	E10-030.html	Phil R.BellP.R. Bell. 2010. Palaeopathological changes in a population of Albertosaurus sarcophagus from the Upper Cretaceous Horseshoe Canyon Formation of Alberta, Canada. Canadian Journal of Earth Sciences.47(9): 1263-1268. https://doi.org/10.1139/E10-030
55	e94-110.html	John A. Percival and Gordon F. West. 1994. The Kapuskasing uplift: a geological and geophysical synthesis. Canadian Journal of Earth Sciences.31(7): 1256-1286. https://doi.org/10.1139/e94-110
56	e02-068.html	J Ross Mackay and C R Burn. 2002. The first 20 years (1978-1979 to 1998-1999) of active-layer development, Illisarvik experimental drained lake site, western Arctic coast, Canada1. Canadian Journal of Earth Sciences.39(11): 1657-1674. https://doi.org/10.1139/e02-068
57	E11-003.html	Sandra L.KamoS.L. Kamo, FernandoCorfuF. Corfu, Larry M.HeamanL.M. Heaman, and Desmond E.MoserD.E. Moser. 2011. The Krogh revolution: advances in the measurement of time. Canadian Journal of Earth Sciences.48(2): 87-94. https://doi.org/10.1139/E11-003
