	score
2018LYSE2132	0.7454427083333334
s202760	0.61162109375
2020CHAMA008	0.81903076171875
2017PA080101	0.835205078125
2013ARTO0403	0.75625
2020INPT0083	0.8494037828947368
2020LYSEN069	0.7200520833333334
1999NAN10300	0.6865090762867647
2018PAUU3025	0.7873313210227273
2019CLFAC047	0.619757080078125
2019LAROS003	0.8014499830163043
2011DENS0048	0.7036696213942307
2017TOU30147	0.682275390625
2013LORR0135	0.8394252232142857
2012LORR0025	0.7390950520833334
2020IPPAS025	0.38947496916118424
2020UBFCC018	0.8395552201704546
2017USPCD049	0.3333468967013889
2017PESC1083	0.6969105113636364
2019PSLED043	0.83837890625
2010TOU30193	0.5986502511160714
2020LAROS004	0.6509806315104166
2017AZUR2008	0.7392578125
2019SACLC068	0.7597212357954546
2017USPCB082	0.6687370749080882
2018TOU30128	0.7050103081597222
2016GREAL028	0.72222900390625
2019LAROS008	0.47349853515625
2018USPCD052	0.865966796875
2018SACLX083	0.8035753038194444
2012GRENT120	0.7743326822916666
2018LYSEI074	0.5000542534722222
2020ESAE0014	0.820068359375
2017BOR30007	0.7106061662946429
2014PA112080	0.73857421875
2020UPASV011	0.8104319852941176
2018ENAM0003	0.8043494591346154
2012PA112112	0.50931396484375
2018NANT4013	0.8710239955357143
2008PA131005	0.7995334201388888
2015SACLS041	0.78680419921875
2014LORR0281	0.8215680803571429
2019PSLEE019	0.7443033854166666
2017EHES0114	0.758935546875
s227345	0.69268798828125
2019EMAC0014	0.555511474609375
2014INAL0019	0.8414713541666666
2018NORMLH31	0.84521484375
s261934	0.8089735243055556
2015GREAH020	0.7087751116071429
2009GRE39037	0.7914341517857143
2018SACLS313	0.66551513671875
2019LORIL521	0.7178955078125
2012DIJOS065	0.8473074776785714
2017LYSES056	0.732998046875
2021SORUL003	0.7118326822916666
2015TOU30202	0.8075796274038461
2020BORD0232	0.7878766741071429
2018REN1S041	0.8706287202380952
2020INAL0009	0.7412651909722222
2020COAZ2013	0.7813648897058824
2012PA112100	0.42179731889204547
2012GRENM045	0.7596958705357143
2006PA112268	0.8016183035714286
2018AIXM0344	0.7739990234375
2020LORR0137	0.8309849330357143
2017LYSEI016	0.8285784040178571
2017AVIG0224	0.7934348366477273
2010AVIG0175	0.5425368088942307
2018GREAM055	0.6860539362980769
2019GREAM054	0.722412109375
2018NANT4003	0.66641845703125
2019SORUS271	0.6626247829861112
2018BORD0152	0.7737630208333334
2014PA066033	0.7289484197443182
2015ORLE2081	0.7814127604166666
2014LORR0166	0.6058349609375
2018MON30056	0.60810546875
s246205	0.8173828125
2018GREAM081	0.8155732996323529
2014NANT2071	0.3067779541015625
2019LORR0030	0.8492098721590909
s234991	0.8333251953125
2020COAZ4031	0.690869140625
s201830	0.67095947265625
2018ISAT0013	0.745269775390625
2016SACLS004	0.757218070652174
2012DIJOS081	0.282672119140625
2008NAN10077	0.75677490234375
2011GRENM065	0.7843424479166666
2019LORR0206	0.6885104709201388
2018PA01D025	0.80126953125
s229220	0.510546875
2019NORMC207	0.658203125
s234353	0.77099609375
2017PA066079	0.47625732421875
2017INPT0051	0.84954833984375
2015AVIG0207	0.5947955587635869
s254355	0.623291015625
2008PA131003	0.7453962053571429
2009PA030120	0.5568150111607143
1999CHAML001	0.551910400390625
2016TOU20023	0.785888671875
2017TOU30117	0.6429595947265625
2020SORUL126	0.750244140625
2014COMP1963	0.8193359375
2015PA112192	0.7993539663461539
2020LEMA1003	0.7709263392857143
2014STRAC022	0.7330322265625
2019SORUS173	0.68790283203125
2019SORUS019	0.8101029829545454
2018LORR0035	0.724853515625
2016MONTS024	0.6980678013392857
2019SACLS369	0.6139090401785714
2007PA131026	0.6931501116071429
2018SORUS049	0.796905517578125
2017LEMA1040	0.7180841619318182
2018PA01E068	0.7377251519097222
2019NANT2018	0.6653645833333334
s234629	0.8419189453125
2018USPCD033	0.4114861739309211
2014NICE4031	0.68634033203125
2007PA100111	0.7369791666666666
2017USPCC032	0.6902126736111112
2018SORUS548	0.8377821180555556
2017LORIS442	0.8380126953125
2014MON20216	0.7777210582386364
2018MONTS076	0.7358731356534091
2015LORR0144	0.77900390625
2018ANGE0011	0.7387029474431818
2012NICE2028	0.555419921875
2017REIMS039	0.78896484375
2017TOUR4011	0.7394205729166666
2020COAZ4034	0.791748046875
2015PA010015	0.7708333333333334
s208027	0.79736328125
2016USPCA057	0.756378173828125
2015DIJOS032	0.768359375
2020BORD0313	0.6665355541087963
s199319	0.7797444661458334
2017TOU30298	0.7940826416015625
2006CAEN2016	0.7928466796875
2011PA112312	0.7427978515625
2017LIL10134	0.752099609375
2017SACLS458	0.7952473958333334
2012LORR0260	0.697998046875
s256511	0.8700103759765625
s231388	0.75927734375
2012CNAM0845	0.357940673828125
2015GREAG003	0.7387152777777778
2019TOU30179	0.7225819463315217
